,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__channel_list,param_module__conv_type,param_module__dropout,param_module__fc_hidden_layers,param_module__preprocess,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
14,231.19601170221964,15.24584409278986,0.0624853769938151,7.370009816086851e-07,64,0.0001,2000,prelu,"[(132, None), (66, 66)]",temporal,0.5132013578501974,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (66, 66)], 'module__conv_type': 'temporal', 'module__dropout': 0.5132013578501974, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.9113149847094801,0.9280245022970903,0.9050535987748851,0.914795918367347,0.009693636724912611,1,0.9846860643185299,0.9831675592960979,0.9785768936495792,0.9821435057547356,0.002597050353416888
2,137.16859078407288,6.2820200672119375,0.057845115661621094,0.007768552500868239,64,0.0001,2000,prelu,"[(120, None), (131, 1), (23, 1)]",regular,0.364290818958921,"[1936, 64]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(120, None), (131, 1), (23, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.364290818958921, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC'}",0.9204892966360856,0.9035222052067381,0.9142419601837672,0.9127551020408163,0.007006932630735757,2,0.9869831546707504,0.9808722264728386,0.9801071155317521,0.982654165558447,0.003076952901694933
16,361.89761598904926,29.134760376845215,0.062485059102376304,2.247831920581015e-07,64,0.0001,2000,prelu,"[(111, None), (42, 3), (54, 3), (129, 3)]",regular,0.554702814590276,"[1936, 64]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(111, None), (42, 3), (54, 3), (129, 3)], 'module__conv_type': 'regular', 'module__dropout': 0.554702814590276, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC'}",0.9128440366972477,0.9157733537519143,0.9050535987748851,0.9112244897959184,0.0045228192596393465,3,0.9846860643185299,0.9831675592960979,0.9801071155317521,0.98265357971546,0.001904350152496118
15,127.15813740094502,17.891038247737573,0.04686443010965983,2.9736021254650284e-07,64,0.0001,2000,prelu,"[(88, None), (110, 11)]",regular,0.43064516960624166,"[1936, 128]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(88, None), (110, 11)], 'module__conv_type': 'regular', 'module__dropout': 0.43064516960624166, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC'}",0.900611620795107,0.9111791730474732,0.9142419601837672,0.9086734693877551,0.005840300771617589,4,0.9862174578866769,0.9831675592960979,0.981637337413925,0.9836741181988998,0.0019038255045629073
0,221.96049364407858,12.501577268478641,0.06848343213399251,0.0009401557007830096,64,0.0001,2000,prelu,"[(132, None), (66, 66), (132, 66)]",regular,0.4175690005831708,"[1936, 128]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (66, 66), (132, 66)], 'module__conv_type': 'regular', 'module__dropout': 0.4175690005831708, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC'}",0.8990825688073395,0.9142419601837672,0.9111791730474732,0.9081632653061225,0.006546396686588483,5,0.9823889739663093,0.9839326702371843,0.9808722264728386,0.9823979568921107,0.0012494370808215202
7,167.6641218662262,15.371348393778979,0.05983980496724447,0.0008145880582385632,64,0.0001,2000,prelu,"[(132, None), (44, 22)]",temporal,0.29837632956413745,"[1936, 64]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (44, 22)], 'module__conv_type': 'temporal', 'module__dropout': 0.29837632956413745, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC'}",0.9036697247706422,0.9173047473200613,0.9035222052067381,0.9081632653061225,0.006461811335579104,5,0.9816232771822359,0.981637337413925,0.9808722264728386,0.9813776136896665,0.0003574088244840316
13,71.21464959780376,5.585873130848528,0.04979419708251953,0.004143878163881028,64,0.0001,2000,prelu,"[(119, None), (128, 1)]",regular,0.3066835814026527,"[1936, 128]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(119, None), (128, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.3066835814026527, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC'}",0.8914373088685015,0.9157733537519143,0.900459418070444,0.9025510204081633,0.010045796596887369,7,0.9823889739663093,0.9801071155317521,0.9824024483550114,0.9816328459510243,0.0010788683497094105
3,131.2633979320526,15.18339321775065,0.06283171971638997,0.00587194536029037,64,0.0001,2000,prelu,"[(132, None), (44, 11)]",temporal,0.36109912727543253,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (44, 11)], 'module__conv_type': 'temporal', 'module__dropout': 0.36109912727543253, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8929663608562691,0.9173047473200613,0.8958652373660031,0.9020408163265307,0.010853828878240358,8,0.9823889739663093,0.9831675592960979,0.981637337413925,0.9823979568921107,0.0006247427587346918
1,105.02823901176453,24.397205768646167,0.05950705210367838,0.0060024545618241375,64,0.0001,2000,prelu,"[(24, None), (65, 1), (84, 1)]",regular,0.2537273481514357,"[1936, 64]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(24, None), (65, 1), (84, 1)], 'module__conv_type': 'regular', 'module__dropout': 0.2537273481514357, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC'}",0.8960244648318043,0.9111791730474732,0.891271056661562,0.8994897959183673,0.008487359377312624,9,0.9808575803981623,0.9762815608263198,0.9801071155317521,0.9790820855854113,0.0020038302612152325
5,438.4307355086009,27.177422791079163,0.11901521682739258,0.0024878854626375142,64,0.0001,2000,prelu,"[(132, None), (132, 66), (132, 66), (66, 66), (132, 66), (132, 66)]",regular,0.3753833944652667,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (132, 66), (132, 66), (66, 66), (132, 66), (132, 66)], 'module__conv_type': 'regular', 'module__dropout': 0.3753833944652667, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8868501529051988,0.891271056661562,0.8759571209800919,0.8846938775510204,0.006433854542913244,10,0.9747320061255743,0.9747513389441469,0.9755164498852333,0.9749999316516514,0.00036531881390127846
19,228.07819747924805,16.075324326440132,0.06775101025899251,0.007343246467903209,64,0.0001,2000,prelu,"[(60, None), (102, 3), (6, 3)]",temporal,0.3986550208052125,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(60, None), (102, 3), (6, 3)], 'module__conv_type': 'temporal', 'module__dropout': 0.3986550208052125, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8685015290519877,0.885145482388974,0.8713629402756509,0.875,0.0072657408010770325,11,0.9716692189892803,0.9778117827084928,0.9701606732976281,0.9732138916651337,0.003309015871917375
6,1239.3974362214406,85.3116314705552,0.19448272387186685,0.008499944587003915,64,0.0001,2000,prelu,"[(132, None), (88, 22), (88, 22), (132, 22), (132, 22)]",temporal,0.5839012204073099,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(132, None), (88, 22), (88, 22), (132, 22), (132, 22)], 'module__conv_type': 'temporal', 'module__dropout': 0.5839012204073099, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8685015290519877,0.8728943338437979,0.8667687595712098,0.8693877551020408,0.002577573602051562,12,0.9716692189892803,0.9778117827084928,0.9724560061208876,0.9739790026062202,0.002729152613528987
8,301.0341378053029,13.19529012513396,0.10039782524108887,0.002488012898376589,64,0.0001,2000,prelu,"[(51, None), (120, 3), (75, 3), (129, 3), (9, 3), (66, 3)]",regular,0.33511624340377155,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(51, None), (120, 3), (75, 3), (129, 3), (9, 3), (66, 3)], 'module__conv_type': 'regular', 'module__dropout': 0.33511624340377155, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8623853211009175,0.8637059724349158,0.877488514548239,0.8678571428571429,0.006829123944727987,13,0.9777947932618682,0.9716908951798011,0.9693955623565417,0.9729604169327369,0.0035445294996779967
17,269.7620232105255,14.273370803887676,0.08331386248270671,0.007364290743052739,64,0.0001,2000,prelu,"[(72, None), (93, 3), (21, 3), (3, 3), (57, 3)]",regular,0.41587064268535656,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(72, None), (93, 3), (21, 3), (3, 3), (57, 3)], 'module__conv_type': 'regular', 'module__dropout': 0.41587064268535656, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8318042813455657,0.892802450229709,0.8606431852986217,0.861734693877551,0.024917514069894904,14,0.9663093415007658,0.9693955623565417,0.9617444529456771,0.9658164522676614,0.003142936381935169
9,314.0127589702606,32.75693502240388,0.1413900057474772,0.012934310864821608,64,0.0001,2000,prelu,"[(89, None), (33, 1), (8, 1), (120, 1), (74, 1)]",temporal,0.32347580801193077,"[1936, 128]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(89, None), (33, 1), (8, 1), (120, 1), (74, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.32347580801193077, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC'}",0.8073394495412844,0.8514548238897397,0.8529862174578867,0.8372448979591837,0.0211717588840134,15,0.9364471669218989,0.9701606732976281,0.9517980107115531,0.9528019503103601,0.013781776592663306
11,295.9140179157257,13.801132854449294,0.15600856145222983,0.012757914631791227,64,0.0001,2000,prelu,"[(43, None), (69, 1), (52, 1), (54, 1), (80, 1), (79, 1)]",temporal,0.2553222185225644,"[1936, 64]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(43, None), (69, 1), (52, 1), (54, 1), (80, 1), (79, 1)], 'module__conv_type': 'temporal', 'module__dropout': 0.2553222185225644, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC'}",0.8211009174311926,0.8361408882082695,0.8468606431852986,0.8346938775510204,0.010567316532939278,16,0.9509954058192955,0.9594491201224178,0.9640397857689365,0.9581614372368833,0.005402626366124929
18,299.944585164388,9.221207762858914,0.13017717997233072,0.007364290743052739,64,0.0001,2000,prelu,"[(102, None), (9, 3), (102, 3), (105, 3), (72, 3)]",temporal,0.24690223432171293,"[1936, 64]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(102, None), (9, 3), (102, 3), (105, 3), (72, 3)], 'module__conv_type': 'temporal', 'module__dropout': 0.24690223432171293, 'module__fc_hidden_layers': [1936, 64], 'module__preprocess': 'LSC'}",0.7981651376146789,0.8254211332312404,0.8683001531393568,0.8306122448979592,0.02887026560390766,17,0.9494640122511485,0.936495791889824,0.964804896710023,0.9502549002836652,0.011570666412390632
12,1228.861041545868,80.86749218570542,0.20828374226888022,0.0073643469484991645,64,0.0001,2000,prelu,"[(66, None), (110, 22), (132, 22), (66, 22), (22, 22), (110, 22)]",temporal,0.5185057681309128,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(66, None), (110, 22), (132, 22), (66, 22), (22, 22), (110, 22)], 'module__conv_type': 'temporal', 'module__dropout': 0.5185057681309128, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8134556574923547,0.8192955589586524,0.7947932618683001,0.8091836734693878,0.010447405107239124,18,0.9525267993874426,0.9395562356541699,0.9495026778882938,0.9471952376433022,0.005540883879723975
10,523.6219414869944,20.731056205560552,0.17641448974609375,0.005087174954718188,64,0.0001,2000,prelu,"[(88, None), (88, 22), (22, 22), (66, 22), (132, 22)]",temporal,0.32651341654724064,"[1936, 256]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(88, None), (88, 22), (22, 22), (66, 22), (132, 22)], 'module__conv_type': 'temporal', 'module__dropout': 0.32651341654724064, 'module__fc_hidden_layers': [1936, 256], 'module__preprocess': 'LSC'}",0.8042813455657493,0.8070444104134763,0.7993874425727412,0.8035714285714286,0.0031652673789268043,19,0.9632465543644717,0.9334353481254782,0.9380260137719969,0.9449026387539824,0.013105799802965095
4,556.7600230375925,59.22355624146051,0.13065020243326822,0.00354950120209956,64,0.0001,2000,prelu,"[(11, None), (99, 11), (44, 11), (33, 11), (11, 11)]",temporal,0.2953937478232761,"[1936, 128]",LSC,"{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 2000, 'module__activation_fct': 'prelu', 'module__channel_list': [(11, None), (99, 11), (44, 11), (33, 11), (11, 11)], 'module__conv_type': 'temporal', 'module__dropout': 0.2953937478232761, 'module__fc_hidden_layers': [1936, 128], 'module__preprocess': 'LSC'}",0.7996941896024465,0.8101071975497703,0.7856049004594181,0.798469387755102,0.010037957676422965,20,0.9517611026033691,0.9380260137719969,0.9372609028309105,0.9423493397354253,0.006662447443187036
